glibc 2.41+r2+g0a7c7a3e283a-1
glibmm 2.66.7-1
glibmm-2.68 2.82.0-1
glslang 15.1.0-1
glu 9.0.3-2
gmime3 3.2.15-1
gmp 6.3.0-2
gn 0.2207.ed1abc10-1
gnu-netcat 0.7.1-10
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.8-1
go 2:1.23.5-1
go-swagger 0.31.0-2
go2 0.3-1
gobject-introspection 1.82.0-2
gobject-introspection-runtime 1.82.0-2
gobuster-git 3.5.0.r0.gc3fed5e-1
golangci-lint 1.62.2-1
golangci-lint-debug 1.62.2-1
google-cloud-sdk 404.0.0-1
gotop 4.2.0-3
gotop-debug 4.2.0-3
gparted 1.7.0-1
gperf 3.1-5
gperftools 2.16-1
gpgme 1.24.1-3
gping 1.18.0-2
gpm 1.20.7.r38.ge82d1a6-6
gptfdisk 1.0.10-1
gradle 8.12-1
graphene 1.10.8-2
graphite 1:1.3.14-4
graphviz 12.2.1-1
green-recorder-git 3.2.10.r7.gde31bbc-1
grep 3.11-1
groff 1.23.0-7
grub 2:2.12-3
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsfonts 20200910-4
gsm 1.0.22-2
gspell 1.14.0-1
gssdp 1.6.3-2
gst-libav 1.24.12-1
gst-plugin-gtk 1.24.12-1
gst-plugins-bad 1.24.12-1
gst-plugins-bad-libs 1.24.12-1
gst-plugins-base 1.24.12-1
gst-plugins-base-libs 1.24.12-1
gst-plugins-good 1.24.12-1
gst-plugins-ugly 1.24.12-1
gstreamer 1.24.12-1
gtest 1.15.2-1
gtk-doc 1.34.0-3
gtk-layer-shell 0.9.0-1
gtk-update-icon-cache 1:4.16.12-1
gtk2 2.24.33-5
gtk3 1:3.24.48-1
gtk4 1:4.16.12-1
gtkd 3.10.0-15
gtkmm 1:2.24.5-5
gtkmm-4.0 4.16.0-1
gtkmm3 3.24.9-1
gtksourceview3 1:3.24.11+r28+g73e57b57-2
gts 0.7.6.121130-3
gucharmap 15.1.1-1
guile 3.0.10-1
gupnp 1:1.6.8-1
gupnp-igd 1.6.0-1
gvfs 1.56.1-2
gvfs-smb 1.56.1-2
gzip 1.13-4
handbrake 1.9.0-1
harfbuzz 10.2.0-1
harfbuzz-icu 10.2.0-1
hashcat 1:6.2.6-2
hcxdumptool 6.3.5-1
hcxkeys 6.2.1-3
hcxtools 6.3.5-1
hdf5 1.14.5-1
hdparm 9.65-2
helm 3.17.0-1
hexchat 2.16.2-4
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
htop 3.3.0-3
http-parser 2.9.4-2
httpie 3.2.4-1
hugo 0.143.0-1
hunspell 1.7.2-2
hwdata 0.391-1
hwinfo 23.3-1
hwloc 2.11.2-1
hyphen 2.8.8-6
i3-wm 4.24-1
i3lock-color 2.13.c.5-3
i3lock-color-debug 2.13.c.5-3
iana-etc 20241206-1
ibus 1.5.31-2
icu 75.1-2
ijs 0.35-6
imagemagick 7.1.1.43-1
imake 1.0.10-2
imath 3.1.12-2
imlib2 1.12.3-2
inetutils 2.5-1
iniparser 4.2.5-1
intel-ucode 20241112-1
intel-undervolt 1.7-3
intltool 0.51.0-6
inxi 3.3.37.1-1
iotop 0.6-12
iproute2 6.13.0-1
iptables 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
iw 6.9-1
jack2 1.9.22-1
jansson 2.14-4
jasper 4.2.4-2
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk11-openjdk 11.0.26.u4-1
jemalloc 1:5.3.0-5
john 1.9.0.jumbo1-11
jq 1.7.1-2
jre-openjdk 23.0.2.u7-1
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
k9s 0.32.7-1
kazam 1.4.5-9
kbd 2.7.1-1
kcoreaddons 6.10.0-1
keyutils 1.6.3-3
kitty 0.39.1-1
kitty-shell-integration 0.39.1-1
kitty-terminfo 0.39.1-1
kmod 33-3
krb5 1.21.3-1
kubectl 1.32.1-1
kubectx 0.9.5-1
kubeval-bin 0.16.1-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.1-2
lcms2 2.16-1
ldb 2:4.21.3-1
ldns 1.8.4-1
lensfun 1:0.3.4-5
leptonica 1.85.0-2
less 1:668-1
lib32-gcc-libs 14.2.1+r730+gc061ad5a36ba-1
lib32-glibc 2.41+r2+g0a7c7a3e283a-1
libadwaita 1:1.6.4-1
libaec 1.1.3-1
libaio 0.3.113-3
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.7.7-1
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libavc1394 0.5.4-6
libavif 1.1.1-2
libavtp 0.2.0-3
libayatana-appindicator 0.5.93-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libb64 1.2.1-5
libblockdev 3.2.1-3
libblockdev-crypto 3.2.1-3
libblockdev-fs 3.2.1-3
libblockdev-loop 3.2.1-3
libblockdev-mdraid 3.2.1-3
libblockdev-nvme 3.2.1-3
libblockdev-part 3.2.1-3
libblockdev-swap 3.2.1-3
libbluray 1.3.4-2
libbpf 1.5.0-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.11-1
libcaca 0.99.beta20-5
libcamera 0.3.2-2
libcamera-ipa 0.3.2-2
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.71-1
libcap-ng 0.8.5-3
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcloudproviders 0.3.6-1
libcolord 1.4.7-2
libconfig 1.7.3-3
libcss 0.9.2-1
libcups 2:2.4.11-2
libcupsfilters 2.1.0-3
libcurl-gnutls 8.11.1-3
libdaemon 0.14-6
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.15-3
libdecor 0.2.2-1
libdeflate 1.23-1
libdiscid 0.6.4-3
libdispatch 5.10-1
libdom 0.4.2-1
libdovi 3.3.1-1
libdrm 2.4.124-1
libdv 1.0.0-11
libdvbpsi 1:1.3.3-3
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libebml 1.4.5-1
libedit 20240808_3.1-1
libei 1.3.0-1
libelf 0.192-3
libepoxy 1.5.10-3
libev 4.33-3
libevdev 1.13.3-1
libevent 2.1.12-4
libexif 0.6.25-1
libfabric 2.0.0-1
libfdk-aac 2.0.3-1
libffi 3.4.6-1
libfm 1.3.2-1
libfm-extra 1.3.2-1
libfm-gtk2 1.3.2-1
libfontenc 1.1.8-1
libfreeaptx 0.1.1-2
libgcrypt 1.11.0-2
libgexiv2 0.14.3-2
libgirepository 1.82.0-2
libgit2 1:1.9.0-2
libglvnd 1.7.0-1
libgme 0.6.3-5
libgnomekbd 1:3.28.1-1
libgpg-error 1.51-1
libgphoto2 2.5.31-3
libgtop 2.41.3-2
libgudev 238-1
libgusb 0.4.9-1
libhandy 1.8.3-2
libheif 1.19.5-1
libhubbub 0.3.8-1
libibus 1.5.31-2
libical 3.0.19-1
libice 1.1.2-1
libid3tag 0.16.3-2
libidn 1.42-1
libidn2 2.3.7-1
libiec61883 1.2.0-8
libieee1284 0.2.11-18
libimagequant 4.3.3-1
libimobiledevice 1.3.0-15
libimobiledevice-glue 1.3.1-1
libindicator-gtk3 12.10.1-10
libinih 58-1
libinput 1.27.1-1
libinput-gestures 2.78-1
libinstpatch 1.1.6-3
libisl 0.27-1
libjpeg-turbo 3.1.0-1
libjxl 0.11.1-1
libkate 0.4.1-11
libkeybinder3 0.3.2-5
libksba 1.6.7-1
liblc3 1.1.2-1
libldac 2.0.2.3-2
libldap 2.6.9-1
liblouis 3.32.0-2
liblphobos 3:1.40.0-2
liblqr 0.4.3-1
liblrdf 0.6.1-5
libltc 1.3.2-2
libluv 1.48.0_2-1
liblzf 3.6-5
libmad 0.15.1b-10
libmanette 0.2.9-2
libmatroska 1.7.1-2
libmaxminddb 1.12.2-1
libmd 1.1.0-2
libmfx 23.2.2-3
libmicrodns 0.2.0-2
libmicrohttpd 1.0.1-1
libmm-glib 1.22.0-1
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmpcdec 1:0.1+r475-6
libmpdclient 2.22-1
libmpeg2 0.5.1-10
libmypaint 1.6.1-2
libmysofa 1.3.3-1
libnatpmp 20230423-3
libndp 1.9-1
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.24-3
libnfnetlink 1.0.2-2
libnftnl 1.2.8-1
libnghttp2 1.64.0-1
libnghttp3 1.7.0-1
libngtcp2 1.10.0-1
libnice 0.1.22-1
libnl 3.11.0-1
libnm 1.50.2-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnotify 0.8.3-1
libnsl 2.0.1-1
libnvme 1.11.1-2
liboauth 1:1.0.3+r16+gc26f038-2
libogg 1.3.5-2
libomxil-bellagio 0.9.3-5
libopenmpt 0.7.13-1
libp11-kit 0.25.5-1
libpaper 2.2.6-1
libparserutils 0.2.5-1
libpcap 1.10.5-2
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipeline 1.5.8-1
libpipewire 1:1.2.7-1
libplacebo 7.349.0-4
libplist 2.6.0-2
libpng 1.6.46-1
libppd 2.1.0-1
libproxy 0.5.9-1
libpsl 0.21.5-2
libpulse 17.0+r43+g3e2bb8a1e-1
libraqm 0.10.2-1
libraw 0.21.3-1
libraw1394 2.1.2-4
librsvg 2:2.59.2-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.5.5-4
libsecret 0.21.6-1
libshout 1:2.4.6-3
libsidplay 1.36.59-10
libsigc++ 2.12.1-1
libsigc++-3.0 3.6.0-1
libsm 1.2.5-1
libsndfile 1.2.2-2
libsodium 1.0.20-1
libsoup 2.74.3-1
libsoup3 3.6.4-1
libsoxr 0.1.3-4
libspectre 0.2.12-2
libspiro 1:20240903-1
libsrtp 1:2.6.0-1
libssh 0.11.1-1
libssh2 1.11.1-1
libstemmer 2.2.0-2
